NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color filID filNgal0p5 filNgal1p0
0 146.714215 -1.041280 0.02122 10.17 0.49 0.00 1.53402 -10.48 blue 7535 4 4
473143 166.822334 26.129681 0.02199 9.09 0.45 0.00 0.98302 -9.44 blue 1270 13 21
658116 167.571834 29.044468 0.02539 9.84 1.89 0.00 1.30218 -9.56 blue 1270 13 21
474659 169.279472 26.583829 0.02631 9.05 0.26 0.00 0.96897 -9.64 blue 6655 11 14
475451 172.829578 28.271604 0.02353 9.13 0.00 1.00 0.99771 -11.73 red 4073 14 19
476406 175.304532 27.665095 0.02327 10.24 0.04 1.00 1.59417 -11.65 red 3231 3 7
477554 179.892476 28.716772 0.02701 9.18 0.04 0.00 1.00999 -10.58 red 11124 49 70
479554 184.520332 27.011849 0.02352 9.07 0.00 1.00 0.97419 -11.93 red 8266 3 8
666977 184.772843 27.298823 0.02326 9.73 0.74 0.00 1.24579 -9.87 blue 8266 3 8
480988 187.212168 26.700086 0.02212 9.85 0.01 1.00 1.30776 -12.06 red 10465 2 3
481320 188.333835 27.450561 0.02311 9.28 0.00 1.00 1.05110 -11.68 red 8195 53 70
481694 193.049369 26.874792 0.02061 10.07 0.35 0.00 1.45100 -10.52 red 14034 2 10
481753 192.564440 27.060298 0.02221 9.31 0.00 0.00 1.06194 -12.11 red 14034 2 10
481770 192.260475 26.893121 0.02459 10.39 0.30 0.00 1.77718 -10.92 red 14034 2 10
481797 191.718965 26.709253 0.02028 9.51 0.57 0.00 1.14249 -9.75 blue 6086 5 5
481978 192.299235 27.385079 0.02087 9.06 0.00 1.00 0.97267 -11.61 red 14034 2 10
482502 193.753489 27.483381 0.02321 9.70 0.01 1.00 1.22853 -11.78 red 11804 234 429
482657 194.124227 27.940018 0.02213 10.43 0.25 0.00 1.83211 -11.02 red 11804 234 429
672266 195.012589 28.240741 0.02569 9.10 0.81 0.00 0.98351 -9.19 blue 11804 234 429
482791 195.212885 27.742979 0.02713 9.73 0.01 0.00 1.24196 -11.55 red 11804 234 429
482844 194.955283 26.974277 0.02351 9.19 0.33 0.00 1.01640 -9.67 blue 11804 234 429
483088 194.767316 27.959168 0.02346 9.80 0.04 1.00 1.28038 -11.22 red 11804 234 429
483345 195.121458 26.675357 0.02396 10.52 199355364302738.25 -99.00 2.00983 3.78 blue 6681 7 9
483374 195.275798 27.397815 0.02706 9.93 0.09 0.00 1.35328 -10.99 red 11804 234 429
483440 196.173664 28.227555 0.02403 9.28 0.02 0.00 1.04885 -10.93 red 11804 234 429
484340 202.558084 26.665608 0.02480 9.71 0.19 0.00 1.23311 -10.43 blue 2396 30 43
487398 127.169885 17.555333 0.02736 9.45 0.91 0.00 1.11454 -9.49 blue 14185 4 4
489060 130.722848 17.022527 0.01969 8.52 0.13 0.00 0.81251 -9.41 blue 403 16 25
490506 137.494493 19.246804 0.02770 9.20 0.35 0.00 1.01694 -9.65 blue 2613 16 20
491839 140.655808 21.957400 0.02602 10.21 0.28 0.00 1.56277 -10.76 red 5193 6 8
491958 140.888960 22.523794 0.02617 9.16 0.01 1.00 1.00367 -11.16 red 5193 6 8
492137 141.055594 24.674627 0.02714 10.67 0.04 0.00 2.43254 -12.08 red 5042 7 13
492175 145.257282 20.788841 0.02331 9.13 0.07 1.00 0.99685 -10.31 blue 2248 4 4
492927 146.672520 22.046182 0.02590 9.95 0.01 0.00 1.36325 -12.17 red 7414 9 21
494659 148.289798 27.621747 0.01984 10.31 0.04 0.00 1.67978 -11.67 red 5253 4 5
494889 151.591367 24.239734 0.02130 9.22 0.67 0.00 1.03027 -9.40 blue 1817 18 27
496584 155.164220 25.559938 0.02129 9.26 58890324519869.11 -99.00 1.04285 4.51 blue 1817 18 27
498106 161.007658 26.435031 0.02135 9.33 0.00 1.00 1.07067 -11.80 red 6884 23 48
498711 163.970958 26.578383 0.02182 9.89 1.08 0.00 1.33416 -9.86 blue 6884 23 48
499797 148.155680 19.472516 0.02491 9.02 0.18 0.00 0.95730 -9.77 blue 12011 3 6
501825 144.015941 16.760363 0.02735 9.91 2.50 0.00 1.33880 -9.51 blue 7305 2 5
501863 143.518456 17.831953 0.02741 10.60 0.40 0.00 2.19791 -11.00 red 7305 2 5
502168 150.433334 17.968620 0.02618 9.01 0.21 0.00 0.95523 -9.70 blue 3451 7 14
503496 157.253422 19.653798 0.02593 9.78 0.32 0.00 1.26913 -10.27 blue 1681 25 31
503507 156.587368 19.443892 0.02679 8.96 0.44 0.00 0.93791 -9.31 blue 1681 25 31
510441 139.323187 16.519530 0.02690 9.43 0.01 1.00 1.10577 -11.50 red 7603 3 4
510704 141.269607 14.685543 0.02468 9.02 0.28 0.00 0.95727 -9.57 blue 7027 5 10
511099 161.058507 22.725655 0.01977 9.89 0.03 1.00 1.33118 -11.45 red 889 12 26
656663 164.613090 24.196066 0.02251 9.82 0.94 0.00 1.29167 -9.85 blue 7964 17 25
